phase,method,run_id,round,selected_candidate,true_best_candidate,ISR,hf_cost,candidate_batch_hash
DEV,Proxy Only,dev-harness_skill_evolution-proxy-bug-001,0,1596dc41fbb1728e345a8aab4381ea86313867c679c8e145bb5b689027243e4c,fecfc02498479533becc64a0ff612584f73d5ddad4937099fe96d0b195ac87e8,1.0,0.0,dc4cbb84299402e112a9057f8e12ef9054d0ea7652f1e4760c77ac6d90aeeed8
DEV,Random HF,dev-harness_skill_evolution-proxy-bug-001,0,fecfc02498479533becc64a0ff612584f73d5ddad4937099fe96d0b195ac87e8,fecfc02498479533becc64a0ff612584f73d5ddad4937099fe96d0b195ac87e8,0.0,1.0,dc4cbb84299402e112a9057f8e12ef9054d0ea7652f1e4760c77ac6d90aeeed8
DEV,Global-VOI,dev-harness_skill_evolution-proxy-bug-001,0,fecfc02498479533becc64a0ff612584f73d5ddad4937099fe96d0b195ac87e8,fecfc02498479533becc64a0ff612584f73d5ddad4937099fe96d0b195ac87e8,0.0,1.0,dc4cbb84299402e112a9057f8e12ef9054d0ea7652f1e4760c77ac6d90aeeed8
DEV,PIVOT-VOI,dev-harness_skill_evolution-proxy-bug-001,0,fecfc02498479533becc64a0ff612584f73d5ddad4937099fe96d0b195ac87e8,fecfc02498479533becc64a0ff612584f73d5ddad4937099fe96d0b195ac87e8,0.0,1.0,dc4cbb84299402e112a9057f8e12ef9054d0ea7652f1e4760c77ac6d90aeeed8
DEV,All-HF Oracle,dev-harness_skill_evolution-proxy-bug-001,0,fecfc02498479533becc64a0ff612584f73d5ddad4937099fe96d0b195ac87e8,fecfc02498479533becc64a0ff612584f73d5ddad4937099fe96d0b195ac87e8,0.0,2.0,dc4cbb84299402e112a9057f8e12ef9054d0ea7652f1e4760c77ac6d90aeeed8
DEV,Proxy Only,dev-harness_skill_evolution-proxy-bug-002,0,52ec43aebc9d27f4ebe8d0dabe72e45ff3ed3bcd52bb049c89dc0db98398849b,cc97e69f0404839eace727ab68dc60a68d37fc2c60697559f28a5b16f3976113,1.0,0.0,1eb639c0fc32c03e2be55c0115b3b569f284788b4c3c5437ed754376beec0514
DEV,Random HF,dev-harness_skill_evolution-proxy-bug-002,0,52ec43aebc9d27f4ebe8d0dabe72e45ff3ed3bcd52bb049c89dc0db98398849b,cc97e69f0404839eace727ab68dc60a68d37fc2c60697559f28a5b16f3976113,1.0,1.0,1eb639c0fc32c03e2be55c0115b3b569f284788b4c3c5437ed754376beec0514
DEV,Global-VOI,dev-harness_skill_evolution-proxy-bug-002,0,cc97e69f0404839eace727ab68dc60a68d37fc2c60697559f28a5b16f3976113,cc97e69f0404839eace727ab68dc60a68d37fc2c60697559f28a5b16f3976113,0.0,1.0,1eb639c0fc32c03e2be55c0115b3b569f284788b4c3c5437ed754376beec0514
DEV,PIVOT-VOI,dev-harness_skill_evolution-proxy-bug-002,0,cc97e69f0404839eace727ab68dc60a68d37fc2c60697559f28a5b16f3976113,cc97e69f0404839eace727ab68dc60a68d37fc2c60697559f28a5b16f3976113,0.0,1.0,1eb639c0fc32c03e2be55c0115b3b569f284788b4c3c5437ed754376beec0514
DEV,All-HF Oracle,dev-harness_skill_evolution-proxy-bug-002,0,cc97e69f0404839eace727ab68dc60a68d37fc2c60697559f28a5b16f3976113,cc97e69f0404839eace727ab68dc60a68d37fc2c60697559f28a5b16f3976113,0.0,2.0,1eb639c0fc32c03e2be55c0115b3b569f284788b4c3c5437ed754376beec0514
