candidate_index,delta_proxy,delta_true,evaluator_bias,predicted_candidate_value,predicted_incumbent_value,response_strength,seed,selected,selection_group,source_transition_id,transition_id,true_candidate_value,true_incumbent_value,update_footprint
2,2.297360655183817,2.297360655183817,0.6,6.29650819542891,3.9991475402450933,0.0,401,,controlled-e4-value-vs-improvement-v1:r=0:o=0.5|seed=401|response=0.0|optimization=0.5,6730bb0cce87519cd4cb,6730bb0cce87519cd4cb,5.69650819542891,3.3991475402450932,0.29999999999999993
3,3.7089344253063654,3.7089344253063654,0.6,7.708081965551458,3.9991475402450933,0.0,401,True,controlled-e4-value-vs-improvement-v1:r=0:o=0.5|seed=401|response=0.0|optimization=0.5,f990dd4aec9223d7e396,f990dd4aec9223d7e396,7.108081965551459,3.3991475402450932,0.5
0,0.7765691649072757,0.7765691649072757,0.6,4.72284582453638,3.946276659629105,0.0,402,,controlled-e4-value-vs-improvement-v1:r=0:o=0.5|seed=402|response=0.0|optimization=0.5,d2f7c87a79da12fddfdc,d2f7c87a79da12fddfdc,4.12284582453638,3.3462766596291047,0.09999999999999998
1,1.529138329814553,1.529138329814553,0.6,5.4754149894436575,3.946276659629105,0.0,402,,controlled-e4-value-vs-improvement-v1:r=0:o=0.5|seed=402|response=0.0|optimization=0.5,87e4719d1e849eb51da6,87e4719d1e849eb51da6,4.875414989443658,3.3462766596291047,0.20000000000000007
2,2.257707494721828,2.257707494721828,0.6,6.203984154350932,3.946276659629105,0.0,402,,controlled-e4-value-vs-improvement-v1:r=0:o=0.5|seed=402|response=0.0|optimization=0.5,cf18df8b4feddef4e14b,cf18df8b4feddef4e14b,5.603984154350933,3.3462766596291047,0.29999999999999993
3,3.642845824536381,3.642845824536381,0.6,7.589122484165485,3.946276659629105,0.0,402,True,controlled-e4-value-vs-improvement-v1:r=0:o=0.5|seed=402|response=0.0|optimization=0.5,cf0906ebd5ea7693b381,cf0906ebd5ea7693b381,6.9891224841654855,3.3462766596291047,0.5
0,0.7993762319441275,0.7993762319441275,0.6,4.8368811597206385,4.037504927776511,0.0,403,,controlled-e4-value-vs-improvement-v1:r=0:o=0.5|seed=403|response=0.0|optimization=0.5,6d357b9ed52ef571cd8f,6d357b9ed52ef571cd8f,4.236881159720639,3.4375049277765113,0.09999999999999998
1,1.5747524638882568,1.5747524638882568,0.6,5.612257391664768,4.037504927776511,0.0,403,,controlled-e4-value-vs-improvement-v1:r=0:o=0.5|seed=403|response=0.0|optimization=0.5,baf633d752b2ce7abf92,baf633d752b2ce7abf92,5.012257391664768,3.4375049277765113,0.20000000000000007
2,2.3261286958323835,2.3261286958323835,0.6,6.363633623608894,4.037504927776511,0.0,403,,controlled-e4-value-vs-improvement-v1:r=0:o=0.5|seed=403|response=0.0|optimization=0.5,9ec1975347743ef917a4,9ec1975347743ef917a4,5.763633623608895,3.4375049277765113,0.29999999999999993
3,3.756881159720642,3.756881159720642,0.6,7.794386087497153,4.037504927776511,0.0,403,True,controlled-e4-value-vs-improvement-v1:r=0:o=0.5|seed=403|response=0.0|optimization=0.5,88a4fee975d6b364ca43,88a4fee975d6b364ca43,7.194386087497153,3.4375049277765113,0.5
